State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
VA,Pulaski County,15.0,22.1,"48,218"
VA,Rappahannock County,9.8,15.6,"62,729"
VA,Richmond County,17.7,23.0,"43,888"
VA,Roanoke County,7.3,9.4,"63,372"
VA,Rockbridge County,12.8,18.6,"47,561"
VA,Rockingham County,11.0,14.0,"52,953"
VA,Russell County,21.2,28.2,"38,386"
VA,Scott County,19.2,24.5,"37,567"
VA,Shenandoah County,11.5,17.7,"54,281"
VA,Smyth County,18.1,27.6,"38,933"
VA,Southampton County,15.2,20.9,"48,119"
VA,Spotsylvania County,7.7,10.9,"76,181"
VA,Stafford County,5.4,7.1,"95,666"
VA,Surry County,13.0,20.0,"51,331"
VA,Sussex County,22.1,29.0,"39,900"
VA,Tazewell County,17.2,24.1,"40,476"
VA,Warren County,10.8,15.1,"58,047"
VA,Washington County,16.3,22.7,"45,864"
VA,Westmoreland County,14.1,28.9,"47,581"
VA,Wise County,22.7,30.9,"36,076"
VA,Wythe County,14.4,21.3,"42,883"
VA,York County,5.3,6.8,"83,007"
VA,Alexandria city,9.1,14.5,"89,177"
VA,Bristol city,19.3,33.4,"38,745"
VA,Buena Vista city,17.3,24.6,"38,962"
VA,Charlottesville city,20.7,22.6,"54,876"
VA,Chesapeake city,9.7,13.9,"67,296"
VA,Colonial Heights city,10.6,16.7,"45,283"
VA,Covington city,18.3,28.6,"35,374"
VA,Danville city,23.5,39.4,"32,369"
VA,Emporia city,22.5,38.3,"33,904"
VA,Fairfax city,7.3,7.8,"99,671"
VA,Falls Church city,3.4,3.3,"122,092"
VA,Franklin city,19.4,35.2,"36,004"
VA,Fredericksburg city,15.9,22.8,"50,710"
VA,Galax city,24.2,36.5,"32,829"
VA,Hampton city,15.2,23.5,"50,191"
VA,Harrisonburg city,30.9,23.7,"39,967"
VA,Hopewell city,20.6,33.7,"37,193"
VA,Lexington city,22.9,13.4,"44,392"
VA,Lynchburg city,23.1,28.4,"39,939"
VA,Manassas city,9.6,15.4,"72,562"
VA,Manassas Park city,7.7,12.7,"75,429"
VA,Martinsville city,23.7,37.1,"32,541"
VA,Newport News city,16.8,25.7,"48,127"
VA,Norfolk city,21.5,29.6,"45,094"
VA,Norton city,23.7,37.5,"31,287"
VA,Petersburg city,28.4,43.0,"31,645"
VA,Poquoson city,5.4,6.6,"86,135"
VA,Portsmouth city,18.6,30.5,"46,308"
VA,Radford city,32.8,21.5,"35,259"
VA,Richmond city,24.4,36.3,"40,161"
VA,Roanoke city,21.3,32.9,"39,587"
VA,Salem city,10.2,13.8,"47,600"
VA,Staunton city,15.2,23.0,"43,401"
VA,Suffolk city,13.1,18.0,"61,171"
VA,Virginia Beach city,8.2,12.4,"67,032"
VA,Waynesboro city,16.0,26.2,"43,500"
VA,Williamsburg city,22.0,25.1,"47,971"
VA,Winchester city,17.8,25.6,"47,679"
WA,Washington,12.2,15.7,"64,080"
WA,Adams County,16.5,21.5,"48,127"
WA,Asotin County,15.7,24.4,"46,573"
WA,Benton County,14.2,19.7,"62,698"
WA,Chelan County,12.7,18.3,"53,604"
WA,Clallam County,15.6,24.2,"46,708"
WA,Clark County,10.6,14.5,"64,282"
WA,Columbia County,15.2,25.2,"40,209"
WA,Cowlitz County,15.7,22.8,"50,502"
WA,Douglas County,13.5,21.0,"51,400"
WA,Ferry County,20.4,30.5,"40,747"
WA,Franklin County,15.6,21.3,"58,246"
WA,Garfield County,15.2,22.4,"47,087"
WA,Grant County,16.1,20.6,"50,573"
